material,harga,tingkat_kekritisan,rutin_nonrutin,2019,ROQ
CONVEYOR ACC;IMPACT ROLLER 114X275X20MM,1037000,C,NON RUTIN,0,0
CRANE ACC;BRAKE HOIST 16 T,67000000,C,NON RUTIN,1,0.49722222222222223
CRANE ACC;BRAKE HOIST 60 T,67000000,C,NON RUTIN,1,0.49722222222222223
CRANE ACC;BRAKE TROLLY 60+15 T,25000000,C,NON RUTIN,0,0
CRANE ACC;INVERTER HOIST 60 T,304000000,C,NON RUTIN,0,0
CRANE ACC;INVERTER LONG TRAVEL,92000000,C,NON RUTIN,0,0
CRANE ACC;INVERTER TROLLY 60+1,71000000,C,NON RUTIN,0,0
CRANE ACC;MOTOR COUPLING HOIST,14000000,C,NON RUTIN,1,0.49722222222222223
CRANE ACC;MOTOR LONG TRAVEL,78000000,C,NON RUTIN,1,0.49722222222222223
CRANE ACC;PLUG MOTOR,6600000,C,NON RUTIN,3,1.4916666666666667
CRANE ACC;RECTIFIER BRAKE TROL,6000000,C,NON RUTIN,1,0.49722222222222223
CRANE ACC;REMOTE CONTROL HOIST,65000000,C,NON RUTIN,1,0.49722222222222223
BEAR;DOD;2118AB950;1108863,0,C,NON RUTIN,4,7.366666666666666
UNIV ACC;EXHAUST FAN 230 VAC,480000,C,NON RUTIN,0,0
FAN ACC;GEAR COUPLING SAF G20,217500000,B,NON RUTIN,0,0
UNIV ACC;APAR 6KG POWDER,488658.50000000006,C,NON RUTIN,0,0
UNIV ACC;APAR 9KG POWDER,601342.5,C,NON RUTIN,0,0
"UNIV ACC;FIRE NOZZLE FOAM 2.5""",8325000,C,NON RUTIN,0,0
"UNIV ACC;STAND NOZZLE 2.5""",35700000,C,NON RUTIN,0,0
TOOL S;SECONDARY CONTAINMENT GRATING,8385300.000000001,C,NON RUTIN,0,0
COOLER;ACP;ZR110;2906073400,20270250,B,NON RUTIN,0,0
COMP;ACP;ZR30;2901112500,22393800,C,NON RUTIN,0,0
COMP;ACP;ZR110;2906074300,40260000,B,NON RUTIN,0,0
UNIV ACC;MUFFLER COMPRESSOR ZR110,2263800,B,NON RUTIN,0,0
DFTR;LBT;450LVA;222,113275,C,NON RUTIN,0,0
O-SEAL;LBT;450LVA;224,394000,C,NON RUTIN,1,0.2833333333333333
O-SEAL;LBT;450LVA;235,443250,C,NON RUTIN,1,0.2833333333333333
O-RING;LBT;450LVA;233,93575,C,NON RUTIN,1,0.2833333333333333
CONST LVL OIL;LBT;450LVA;237,2856500,C,NON RUTIN,1,0.2833333333333333
IMP;LBT;450LVA;209,226550,C,NON RUTIN,1,0.2833333333333333
BEARING NUT;DMW;VPFCM;B811,3626000,C,NON RUTIN,0,0
SHAFT;DMW;VPFCM;R224,47790000,B,NON RUTIN,0,0
LQD DFTR;KIR;KPDS3216;236,3655500,C,NON RUTIN,0,0
SHAFT SLEEVE;SS316;85.9X57X247.68mm,10345500,C,NON RUTIN,0,0
PUMP ACC;MEMBRANEDOW SWRO SWHR30LE400,12000000,C,NON RUTIN,0,0
PUMP ACC;COMPLETE SEALENT SETS,57937000.00000001,C,NON RUTIN,1,0.2833333333333333
PUMP ACC;ZINC ANODE 146X20mm,1851300.0000000002,C,NON RUTIN,0,0
PUMP ACC;ZINC ANODE 90X120mm,1588730.0000000002,C,NON RUTIN,0,0
PUMP ACC;COUPLING 7SCE-35,502350,C,NON RUTIN,1,0.2833333333333333
PUMP;CENTRIFUGAL;20m3/H;3.06KW;2900RPM,46640000.00000001,C,NON RUTIN,0,0
PUMP;CENTRIFUGAL;30m3/H;20M;2900RPM,64500000,C,NON RUTIN,0,0
PUMP ACC;RELIEF VALVE DN32XDN40 1.52Mpa,76550000,C,NON RUTIN,0,0
SHAFT SLEEVE;SS316L;150X305mm,29260000,B,NON RUTIN,0,0
SHAFT SLEEVE;SS316L;150X400mm,38830000,B,NON RUTIN,0,0
PUMP;CENTRIFUGAL;1.5M3/H;2.2KW;2900RPM,58250000,C,NON RUTIN,0,0
PUMP;CENTRIFUGAL;1.5M3/H;3.7KW;2900RPM,62500000,C,NON RUTIN,1,0.2833333333333333
UNIV ACC;CIRCULATING PUMP 3P 400V 7.5KW,217000000,C,NON RUTIN,0,0
SHAFT;SS316;1 1/2X121MM,940000,C,NON RUTIN,0,0
SUMP PUMP;AC;220V;0.7kW;50HZ;2800RPM,78500000,C,NON RUTIN,0,0
SUMP PUMP;AC;380V;2.7kW;50HZ;2800RPM,92000000,C,NON RUTIN,0,0
PUMP ACC;CASING WEAR RING 108X102MM,2250000,C,NON RUTIN,0,0
PUMP ACC;CASING WEAR RING 114X108MM,2250000,C,NON RUTIN,0,0
PUMP;CENTRIFUGAL;0.2M3/MIN;2.2kW;1500RPM,124960000,C,NON RUTIN,0,0
SHAFT SLEEVE;SS316;90X40MM,1275000,C,NON RUTIN,0,0
SHAFT;SS316;1 1/2X101MM,550000,C,NON RUTIN,0,0
PUMP ACC;INTERMEDIATE SHAFT SUS316,4000000,C,NON RUTIN,0,0
PUMP ACC;SPLIT RING SUS316 DFP,4150000,C,NON RUTIN,0,0
SHAFT SLEEVE;SS316;86X260MM,13000000,C,NON RUTIN,0,0
SHAFT SLEEVE;SUS316;55X130MM,4200000,C,NON RUTIN,0,0
PUMP;IJT;TAM246;TAM410878,34661000,C,NON RUTIN,0,0
ELM KIT;NSN;CGB;N16444Z9128D,530000,C,NON RUTIN,0,0
ELM STEERING;NSN;CGB;4871799009A,1309770,C,NON RUTIN,0,0
SPLIT RING;TRS;MMTV2005;5010,17900000,C,NON RUTIN,0,0
TOOL E;HIGH VACUM OIL PURIFIER 6000L/H,5082000000,C,NON RUTIN,0,0
BOILER ACC;NOZZLE CUP A297 150,4100470.0000000005,C,NON RUTIN,22,28.333333333333336
BOILER ACC;BELT SCRAPPER 640X100X10mm,644600,B,NON RUTIN,0,0
BOILER ACC;NOZZLE TUBE 304L 62.5X73mm,236500.00000000003,B,NON RUTIN,22,28.333333333333336
BOILER ACC;REFACTORY TYPE RORAM GB MXB,32500,C,NON RUTIN,0,0
BOILER ACC;UNIVERSAL JOINT,203500,C,NON RUTIN,0,0
BOILER ACC;IVC ROD END LINKAGE,950000,B,RUTIN,2,7.083333333333334
BOILER ACC;SOLID SS304 5.5X6000MM,236000,B,NON RUTIN,0,0
BOILER ACC;ROCKWOOL 3000X900X100MM 600?,1598000,C,NON RUTIN,220,94.6
BOILER ACC;ADAPTOR K 1030T10B,42000000,B,NON RUTIN,1,0.2833333333333333
BOILER ACC;DAMPER 2400X100X0.8MM,670000,B,NON RUTIN,2,2.8333333333333335
BOILER ACC;DRAG CHAIN RED 490/496,27500000,B,NON RUTIN,0,0
"BOILER ACC;PULLEY TAIL 36""",80000000,B,NON RUTIN,0,0
"BOILER ACC;SHAFT DRAG CHAIN 36""",17000000,B,NON RUTIN,0,0
BOILER ACC;FURNACE FLUIDIZING AIR NOZZLE,8231500,B,RUTIN,40,53.833333333333336
BOILER ACC;BLADE DAMPER 6MM,23800000,B,NON RUTIN,0,0
BOILER ACC;REFRACTORY GUNCAST C-28,35000,B,NON RUTIN,0,0
BOILER ACC;TUBE SUPERHEAT GB12,NA,NA,NON RUTIN,15,NA
FLEX PIPE;ARP;GSG75;C308272615,2475000,C,NON RUTIN,0,0
FLEX PIPE;ARP;GSG75;C308272273,3110000,C,NON RUTIN,0,0
FLEX PIPE;ARP;GSG75;C304271769,5750000,C,NON RUTIN,0,0
DISCH CONNECT;ARP;GSG75;C304102550,5680000,C,NON RUTIN,0,0
"PIPE;CS;40;1 3/4""X6m",NA,NA,NON RUTIN,0,NA
"PIPE;CS;40;2 1/2""X6m",6600000,C,NON RUTIN,0,0
"PIPE;SS304;80;2 3/4""X70mm",345400,B,NON RUTIN,22,28.333333333333336
"PIPE;PVC;40;2""",2600000,C,NON RUTIN,1,0.2833333333333333
"PIPE;PVC;40;3""",245000,C,NON RUTIN,0,0
"PIPE;PVC;40;4""",177320,C,NON RUTIN,0,0
"JOINT;EXPANSION;METAL;14""",32873500.000000004,A,NON RUTIN,0,0
JOINT;EXPANSION;METAL;2947X715MM,84012500,A,NON RUTIN,0,0
"ELBOW;PVC;90 DEG;1"";SCH80;",55000,C,NON RUTIN,0,0
"ELBOW;PVC;90 DEG;2,5"";SCH80;",26000,C,NON RUTIN,0,0
"FLANGE;PVC SCH 80;2"";;",360000,C,NON RUTIN,1,0.2833333333333333
"PIPE;PVC;SCH80;2,5""X19FT",230000,C,NON RUTIN,0,0
"TEE;PVC;2"";",290000,C,NON RUTIN,0,0
"TEE;PVC;2,5"";",37000,C,NON RUTIN,0,0
"PIPE;PVC;;1.5""",176000,C,NON RUTIN,0,0
"PIPE;SS304;40;18""X6m",98890000.00000001,C,NON RUTIN,0,0
"PIPE;SS304;80;3""X6m",14080000.000000002,C,NON RUTIN,0,0
"PIPE;CS;40;3""X6M",6600000,C,NON RUTIN,0,0
"ELBOW;PVC;90 DEG;2"";SCH80;FL",168000,C,NON RUTIN,4,1.1333333333333333
BOILER ACC;TUBE 64X6X6000MM SA210-A1,7007550.000000001,A,NON RUTIN,0,0
PIPE;SS316;30;3/8''X0.049X6M,780120,C,NON RUTIN,0,0
JOINT;EXPANSION;METAL;290X330MM,28500000,C,NON RUTIN,0,0
PIPE;CU;SEAMLESS;6MM,99000,C,NON RUTIN,0,0
"ELBOW;PVC;90 DEG;1 1/2"";80;FL",14000,C,NON RUTIN,0,0
PIPE;COO;ASTMB75;10X1.5X6000MM,680000,C,NON RUTIN,0,0
PIPE;SGP50A;40;6M,6860000,C,NON RUTIN,0,0
PIPE;SGP65A;40;6M,9150000,C,NON RUTIN,0,0
PIPE;SS304;40;12.7X0.8X6000MM,2000000,C,NON RUTIN,0,0
"PIPE;PVC;40;2.5""",1120000,C,NON RUTIN,0,0
BOILER ACC;TUBE 64X6X7000MM SA210-A1,NA,NA,NON RUTIN,0,NA
"PIPE;TEE 65A;40;3""",14040000,C,NON RUTIN,0,0
"PIPE;TEE 50A;40;2.5""",16120000,C,NON RUTIN,0,0
PIPE;;SA210A1;64X6.4X4.8X6000MM,4794500,A,NON RUTIN,1,3.666666666666667
"UNIV ACC;PIPA TEMBAGA 1/2""",90000,C,NON RUTIN,0,0
"UNIV ACC;PIPA TEMBAGA 5/8""",125000,C,NON RUTIN,0,0
INTK HOSE;ARP;GSG75;C303242560,3980000,C,NON RUTIN,0,0
"FLEXIBLE HOSE;RUBBER+WR;2 1/2""X180mm;M+F",425000,B,NON RUTIN,0,0
"FLEXIBLE HOSE;RUBBER+WR;4""X10000mm;M+F",525000,C,NON RUTIN,0,0
"FLEXIBLE HOSE;SS304;1 1/4""X700mm;F",2755000,B,RUTIN,3,1.7
"FLEXIBLE HOSE;SS304;1""X700mm;F",2100000,C,NON RUTIN,0,0
FLEXIBLE HOSE;SS304;3/4X700mm;F,1580000,B,NON RUTIN,7,1.9833333333333334
UNIV ACC;TELEPHONE CABLE TERMINAL RJ 11,7800,C,NON RUTIN,0,0
"HOSE;POLYESTER;1"";SC",24200.000000000004,C,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1/2""NPT-10-1/2""",1240000,B,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1/2""NPT-14""",1800000,B,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1/2""NPT-18""",2000000,B,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1/2""NPT-21""",2200000,B,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1/2""NPT-30""",2500000,B,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;2""NPT-18""",3000000,B,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;2""NPT-24""",3402000,B,NON RUTIN,0,0
"FLEXIBLE HOSE;SS;1""X200MM;TE",1800000,C,NON RUTIN,0,0
"FLEXIBLE HOSE;SS;1""X240MM;TE",1845000,C,NON RUTIN,0,0
"FLEXIBLE HOSE;SS;2""X200MM;TE",3145000,C,NON RUTIN,0,0
"FLEXIBLE HOSE;SS;2""X280MM;TE",2090000,C,NON RUTIN,0,0
FLEXIBLE HOSE;SS304;1/2X700;F,2000000,C,NON RUTIN,4,1.1333333333333333
"HOSE;COPPER;3/4"";TE",2980000,C,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1 1/2""NPT-10-1/2""",1250000,C,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1 1/2""NPT-14""",1750000,C,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1 1/2""NPT-18""",1950000,C,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1 1/2""NPT-21""",2166000,C,NON RUTIN,0,0
"JOINT;FLEXIBLE;METAL;1 1/2""NPT-30""",2475000,C,NON RUTIN,0,0
JOINT;FLEXIBLE;CANVAS;50X33X55CM,6500000,C,NON RUTIN,0,0
JOINT;EXPANSION;FABRIC;4000X550MM,26400000,B,NON RUTIN,0,0
JOINT;EXPANSION;FABRIC;PATH02-MP,84300000,B,NON RUTIN,0,0
"UNIV ACC;SELANG PLASTIK INTI BENANG 1/2""",15000,C,NON RUTIN,0,0
"UNIV ACC;SELANG PLASTIK INTI BENANG 3/8""",12000,C,NON RUTIN,0,0
PUMP;VACUUM;31M3;2.2kW;2900RPM,63400000,C,NON RUTIN,1,0.6472222222222221
PUMP;BOOSTER;20M3;5.5KW;2900RPM,99900000,C,NON RUTIN,0,0
"HOSE;FLEXIBLE;RUBBER;2.5""",469000,C,NON RUTIN,40,10.88888888888889
"HOSE;FLEXIBLE;RUBBER;4""",691000,C,NON RUTIN,20,5.444444444444445
HOSE;DYN;BHP300;DS7602,9425000,C,NON RUTIN,0,0
COUP STAR;KIR;KPDS5013;403,4018000,C,NON RUTIN,0,0
"ELBOW;CAST IRON;90 DEG;3"";60;SW",16385000,C,NON RUTIN,0,0
"ELBOW;PVC;90 DEG;3"";60;SS",60000,C,NON RUTIN,0,0
"FLANGE;CS;3"";300;SW",145500,C,NON RUTIN,0,0
"FLANGE;PVC;4"";150;FL",600000,C,RUTIN,2,0.5666666666666667
"JOINT;EXPANSION;TEFLON;36""X600mm",22000000,A,NON RUTIN,0,0
"REDUCER;PVC;3""-2 1/2"";SS",200000,C,NON RUTIN,0,0
"TEE;PVC;3""-1"";SS",255000,C,NON RUTIN,0,0
"TEE;PVC;4"";SS",70400,C,NON RUTIN,0,0
"REDUCER;PVC;3""-2"";SC",37000,C,NON RUTIN,0,0
"ELBOW;PVC;90 DEG;4"";40;SC",26125.000000000004,C,NON RUTIN,0,0
"UNIV ACC;MALE & FEMALE CONNECTOR 4""",2513100,C,RUTIN,10,2.8333333333333335
"UNIV ACC;PUSH-IN FITTING THREAD 1/2"" 8m",2427000,C,NON RUTIN,0,0
"UNIV ACC;MALE & FEMALE CONNECTOR 2.5""",1352800,C,NON RUTIN,10,2.8333333333333335
"UNIV ACC;PUSH-IN FITTING THREAD 1/4"" 8mm",1916000,C,NON RUTIN,0,0
"UNIV ACC;PUSH-IN FITTING THREAD 1/4""10mm",1637000,C,NON RUTIN,0,0
"UNIV ACC;PUSH-IN FITTING THREAD 1/8"" 8mm",1162000,C,NON RUTIN,0,0
TOOL M;SCAFFOLDING 170CM,689920,C,NON RUTIN,0,0
"FLANGE;PVC;4"";150;SC",351450,C,NON RUTIN,0,0
"FLANGE;PVC;1"";150;FL",85000,C,NON RUTIN,0,0
UNIV ACC;PUSH-IN FITTING EQUAL TEE 10MM,229130.00000000003,C,NON RUTIN,0,0
UNIV ACC;PUSH-IN FITTING EQUAL TEE 8MM,165000,C,NON RUTIN,0,0
CLAMP;HOSE;SS;10-20MM,5720,C,NON RUTIN,0,0
PIPE;SS304;SEAMLESS;10MMX6M,4767400,C,NON RUTIN,0,0
UNIV ACC;GREASE FITTING 07020-00675,60500.00000000001,C,NON RUTIN,0,0
"UNIV ACC;SHOCK PVC 4""",31625.000000000004,C,NON RUTIN,0,0
"UNIV ACC;TUBE TITANIUM 1""",1400000,B,NON RUTIN,10,2.8333333333333335
"ELBOW;CS;30 DEG;2.5"";;FL",9700000,C,NON RUTIN,0,0
"ELBOW;CS;45 DEG;2.5"";;FL",12000000,C,NON RUTIN,0,0
"ELBOW;CS;45 DEG;3"";;FL",17900000,C,NON RUTIN,0,0
"ELBOW;CS;90 DEG;2.5"";;FL",140000,C,NON RUTIN,0,0
"ELBOW;CS;90 DEG;3"";;FL",8500000,C,NON RUTIN,0,0
"FLANGE;CS;2.5"";10K RF;FL",8800000,C,NON RUTIN,0,0
"FLANGE;CS;3"";10K RF;FL",120000,C,NON RUTIN,0,0
"TEE;CS;2.5"";FL",11800000,C,NON RUTIN,0,0
"TEE;CS;3"";FL",13500000,C,NON RUTIN,0,0
"FLANGE;PVC;2.5"";150;FL",50000,C,NON RUTIN,0,0
JOINT;EXPANSION;FABRIC;410X380X210MM,17050000,C,NON RUTIN,0,0
"CLAMP;O;SS304;3""",2413250,C,NON RUTIN,0,0
JOINT;EXPANSION;SS304;1200MM,73655000,B,NON RUTIN,0,0
JOINT;EXPANSION;SS321/253MA;1600MM,98375000,B,NON RUTIN,0,0
"FLANGE;PVC;1.5"";150;FL",65000,C,NON RUTIN,0,0
"REDUCER;PVC;2.5""-1.5"";SS",148000,C,NON RUTIN,0,0
"REDUCER;PVC;2.5""-2"";SS",148000,C,NON RUTIN,0,0
"REDUCER;PVC;3""-1/2"";SS",50000,C,NON RUTIN,0,0
"TEE;PVC;2.5""-1"";SS",192000,C,NON RUTIN,0,0
"TEE;PVC;3""-1/2"";SS",280000,C,NON RUTIN,0,0
"CONNECTOR;SS;3/8X1/2"";TE",339825,C,NON RUTIN,0,0
UNIV ACC;SELANG UDARA SPIRAL 8MM,500000,C,NON RUTIN,0,0
"FLANGE;CS;2.5"";300;SW",124500,C,NON RUTIN,0,0
PIPE;SS316;SEAMLESS;10MMX1.5MM,592000,C,NON RUTIN,0,0
"REDUCER;PVC;2""-1 1/2"";SS",16000,C,NON RUTIN,0,0
"UNIV ACC;FEMALE STUD THREAD 1/8"" 8MM",1085000,C,NON RUTIN,0,0
"UNIV ACC;PUSH-IN FIT THREAD 1/2"" 10MM",1160000,C,NON RUTIN,0,0
"UNIV ACC;PUSH-IN FITTING THREAD 1/4"" 6M",1915000,C,NON RUTIN,0,0
"UNIV ACC;PUSH-IN FIT THREAD 3/8"" 10MM",1163000,C,NON RUTIN,0,0
"UNIV ACC;PUSH-IN FITTING THREAD 3/8"" 6m",1400000,C,NON RUTIN,0,0
"UNIV ACC;PUSH-IN FITTING THREAD 3/8"" 8M",1216000,C,NON RUTIN,0,0
"UNIV ACC;SHOCK PVC 2""",40000,C,NON RUTIN,0,0
"REDUCER;SS;2.5""-2"";TE",1270000,C,NON RUTIN,0,0
UNIV ACC;TEE SS,450000,C,NON RUTIN,0,0
UNIV ACC;ELBOW SS,325000,C,NON RUTIN,0,0
UNIV ACC;UNION STRIGHT SS,350000,C,NON RUTIN,0,0
"ELBOW;50A;90 DEG;2.5"";40;SW",12480000,C,NON RUTIN,0,0
"ELBOW;50A;45 DEG;2.5"";40;SW",10080000,C,NON RUTIN,0,0
"ELBOW;50A;30 DEG;2.5"";40;SW",8840000,C,NON RUTIN,0,0
"ELBOW;65A;90 DEG;3"";40;SW",18610000,C,NON RUTIN,0,0
"ELBOW;65A;45 DEG;3"";40;SW",12270000,C,NON RUTIN,0,0
JOINT;EXPANSION;FABRIC;46.25X3,13000000,C,NON RUTIN,0,0
JOINT;EXPANSION;FABRIC;38.25X3,9850000,C,NON RUTIN,0,0
JOINT;EXPANSION;FABRIC;43X35X270C,10950000,C,NON RUTIN,0,0
ELBOW;SA210A1;TB#11;64X6.4X300,4474900,A,NON RUTIN,0,0
ELBOW;SA210A1;TB#12a;64X6.4X30,4474900,A,NON RUTIN,0,0
ELBOW;SA210A1;TB#12b;64X6.4X30,4474900,A,NON RUTIN,0,0
ELBOW;SA210A1;U-BEND;51X6.0X20,4474900,A,NON RUTIN,0,0
ELBOW;SA213T12;TB#8b;44X5.0X30,4474900,A,NON RUTIN,0,0
PIPE;SA213T12;44X5.0X6000MM,5499800,A,NON RUTIN,0,0
FIT;PKR;63000604D3;207P2,15675.000000000002,C,NON RUTIN,0,0
FIT;PKR;63000604D3;JPB8,385000.00000000006,C,NON RUTIN,0,0
FIT;PKR;63000604D3;C63PB818,330000,C,NON RUTIN,0,0
FIT;PKR;63000604D3;S63PB818,462000.00000000006,C,NON RUTIN,0,0
FIT;PKR;63000604D3;68C42,22000,C,NON RUTIN,0,0
FIT;PKR;63000604D3;209P82,25300.000000000004,C,NON RUTIN,0,0
HOSE;PKR;63000604D3;NB8X1,4568000,C,NON RUTIN,0,0
HOSE;PKR;63000604D3;NB10X1,4940000,C,NON RUTIN,0,0
TUBE;PKR;63000604D3;X50CT430,59400.00000000001,C,NON RUTIN,0,0
HOSE;PKR;63000604D3;NB6X1,2866000,C,NON RUTIN,0,0
FIT;LEG;SS316LFKM;38056014,604360,C,NON RUTIN,0,0
FIT;LEG;SS316LFKM;38051014,593250,C,NON RUTIN,0,0
FIT;LEG;SS316LFKM;38051222,807750,C,NON RUTIN,0,0
FIT;LEG;SS316LFKM;38896014,1353708,C,NON RUTIN,0,0
FIT;LEG;SS316LFKM;38891014,1198917,C,NON RUTIN,0,0
FIT;LEG;SS316LFKM;38891222,1906611,C,NON RUTIN,0,0
FIT;LEG;SS316LFKM;38066000,848211,C,NON RUTIN,0,0
VLV;RRH;63000604D3;5811111000,1127500,C,NON RUTIN,0,0
MULTI PLS;ALS;63000604D3;V16178030100,5025000,C,NON RUTIN,0,0
SOLENOID VLV;ASC;120CAV;WT8551A001MS,6580000,C,NON RUTIN,0,0
KIT BALL VLV;YTK;63000604D3;239000002,10232640,C,NON RUTIN,8,2.2666666666666666
KIT BALL VLV;YTK;63000604D3;239000003,14562240.000000002,C,NON RUTIN,7,1.9833333333333334
KIT BALL VLV;YTK;63000604D3;239000004,20042880,C,NON RUTIN,2,0.5666666666666667
GLAND PACKING;DMW;VPFCM;S151,10531400,B,NON RUTIN,0,0
"VALVE;SOLENOID;4/2-WAY;3/4"";110VDC",23498200.000000004,C,NON RUTIN,0,0
BOILER ACC;FIBER STEEL SS310,145000,C,NON RUTIN,0,0
VALVE ACC;SHAFT DN50 SS316,850000,C,NON RUTIN,0,0
"VALVE;MAGNETIC;3-WAY;1/4"";24VDC",770000,C,NON RUTIN,0,0
"VALVE;BALL;3"";DN80;JIS10K;FE",32750000,C,NON RUTIN,0,0
"VALVE;SOLENOID;VFS31309TB03;3/8"";48VDC",5650000,C,NON RUTIN,0,0
"VALVE;SOLENOID;VFS32309TB03;3/8"";48VDC",6700000,C,NON RUTIN,0,0
VALVE ACC;STEM SEAT DN80 ASTM,19000000,C,NON RUTIN,1,0.2833333333333333
"VALVE;GLOBE;3"";DN80;2500;BW",NA,NA,NON RUTIN,0,NA
SOLENOID;ASC;63000604D3;8344G044,5060000,A,NON RUTIN,0,0
SOLENOID;ASC;63000604D3;8344G044KIT,4125000.0000000005,C,NON RUTIN,0,0
ACTUATOR;EOM;63000604D3;ED0100,46350000,B,NON RUTIN,12,6.8
SOLENOID;ASC;63000604D3;8344G00,4125000.0000000005,C,NON RUTIN,0,0
VLV ACT;AUM;MOV;SA101F10,87300000,C,NON RUTIN,0,0
VLV ACT;AUM;MOV;P55901,27800000,C,NON RUTIN,0,0
VLV ACT;AUM;MOV;P1550,7500000,C,NON RUTIN,0,0
VLV ACT;AUM;MOV;P5660,20300000,C,NON RUTIN,0,0
MEMBRAN;ALS;63000604D3;V45499020100,129000,C,NON RUTIN,0,0
COVER;ALS;63000604D3;V36305010100,218000,C,NON RUTIN,0,0
PLUNGER;ALS;63000604D3;V36305270100,367000,C,NON RUTIN,0,0
RUB DISC;ALS;63000604D3;V36305300100,585000,C,NON RUTIN,0,0
VLV ACT;AUM;MOV;SA16132AF,207000000,C,NON RUTIN,0,0
VLV ACT;AUM;MOV;SA14.5F14,180000000,C,NON RUTIN,0,0
MTR;AUM;SA145F14;AM021,NA,NA,NON RUTIN,0,NA
DRAIN VLV;SMC;432450;AFM30G02BD2R,5043200,C,NON RUTIN,0,0
VALVE;LEG;NPT1/4;04890714,1120000,C,NON RUTIN,0,0
VALVE;LEG;NPT3/8;04890718,1120000,C,NON RUTIN,0,0
VALVE;LEG;NPT1/2;04891322,1171000,C,NON RUTIN,0,0
VALVE ACC;DAMPER 184X244X20mm,3828000.0000000005,C,NON RUTIN,0,0
VALVE ACC;MEMBRAN DN40,1100000,C,NON RUTIN,0,0
"VALVE;BALL;1 1/2"";DN40;150;TE",995000,C,NON RUTIN,8,2.2666666666666666
"VALVE;BALL;1"";DN25;150;FL",339000,C,NON RUTIN,0,0
"VALVE;BALL;1"";DN25;150;SS",58500,C,NON RUTIN,0,0
"VALVE;BALL;1/2"";DN55;150;TE",1300200,C,NON RUTIN,0,0
"VALVE;BALL;2 1/2"";DN65;200;FL",47000000,C,NON RUTIN,0,0
"VALVE;BALL;2 1/2"";DN65;300;TE",1254880,C,NON RUTIN,0,0
"VALVE;BALL;2"";DN50;150;SW",7678000.000000001,B,RUTIN,0,0
"VALVE;BALL;3"";DN50;200;FL",32000000,C,NON RUTIN,0,0
"VALVE;BALL;3"";DN80;150;FL",18782500,C,NON RUTIN,0,0
"VALVE;BALL;4"";DN100;400;FL",10348800,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;10"";DN250;100;FL",26000000,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;10"";DN250;150;FL",91000000,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;2"";DN50;150;FL",7800000,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;3"";DN80;150;FL",9100000,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;4"";DN100;150;FL",7000000,C,RUTIN,0,0
"VALVE;BUTTERFLY;6"";DN150;150;FL",7397500.000000001,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;8"";DN200;150;FL",14984200.000000002,C,NON RUTIN,0,0
"VALVE;CHECK;2 1/2"";DN65;1500;TE",1920000,C,NON RUTIN,0,0
"VALVE;CHECK;3"";DN80;150;FL",8446130,C,NON RUTIN,0,0
"VALVE;CHECK;4"";DN100;150;FL",6361300.000000001,C,RUTIN,0,0
"VALVE;GATE;10"";DN250;150;FL",111000000,C,NON RUTIN,0,0
"VALVE;GATE;6"";DN150;300;SW",7850000,C,NON RUTIN,0,0
"VALVE;GLOBE;1 1/2"";DN40;1500;SW",5271200,C,NON RUTIN,0,0
"VALVE;GLOBE;1"";DN25;1500;SW",3270000,C,NON RUTIN,0,0
"VALVE;GLOBE;1/2"";DN15;1500;SW",856800,B,RUTIN,1,1.4166666666666667
"VALVE;GLOBE;3/4"";DN20;1500;SW",2403000,C,NON RUTIN,4,1.1333333333333333
"VALVE;GLOBE;4"";DN100;1500;SW",575957000,B,NON RUTIN,8,2.2666666666666666
"VALVE;GLOBE;4"";DN100;300;SW",9900000,C,NON RUTIN,0,0
VALVE ACC;DISC ALLOY VITON 244X184X20mm,8709180,C,NON RUTIN,3,7.6499999999999995
"VALVE;GATE;8"";DN200;1500;SW",17000000,C,NON RUTIN,0,0
"VALVE;GATE;4"";DN100;900;FL",11211200,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;8"";DN200;50;FL",11500000,C,NON RUTIN,2,0.5666666666666667
"VALVE;GATE;4"";DN200;1500;FL",10139800,C,NON RUTIN,0,0
"VALVE;BUTTERFLY;2.5"";DN65;150;FL",1250000,C,NON RUTIN,0,0
"VALVE;BALL;1 1/4"";DN32;;FL",449000,C,NON RUTIN,0,0
"VALVE;SAFETY;1"";DN25;150;FL",35000000,C,NON RUTIN,0,0
